epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,103.457,0.94546,0.79358,1.38078,0.7332,0.825,0.79167,0.39831,1.78511,1.52601,2.57067,0.00148381,0.00148381,0.00148381
113,104.586,0.95705,0.90299,1.43398,0.79475,0.775,0.77934,0.37568,1.78889,1.61854,2.66614,0.00148216,0.00148216,0.00148216
114,105.461,0.94812,0.81696,1.4102,0.8186,0.79981,0.84395,0.43731,1.64754,1.21503,2.66061,0.00148051,0.00148051,0.00148051
115,106.341,0.88163,0.73771,1.34675,0.83094,0.85,0.84094,0.38999,1.86569,1.21285,2.96101,0.00147886,0.00147886,0.00147886
116,107.219,1.00394,0.8739,1.49994,0.84176,0.89895,0.88378,0.4498,1.66043,1.10305,2.54262,0.00147721,0.00147721,0.00147721
117,108.086,0.86302,0.82007,1.4193,0.66062,0.69107,0.74862,0.35034,1.6881,1.70641,2.54685,0.00147556,0.00147556,0.00147556
118,109.195,0.98151,0.7927,1.40401,0.74803,0.69313,0.79602,0.42196,1.71255,1.70022,2.56031,0.00147391,0.00147391,0.00147391
119,110.064,0.85707,0.70947,1.32421,0.80449,0.78686,0.86363,0.43246,1.68395,1.31926,2.63707,0.00147226,0.00147226,0.00147226
120,110.932,0.98089,0.83578,1.48877,0.74847,0.89849,0.89622,0.45643,1.58265,1.06353,2.58979,0.00147061,0.00147061,0.00147061
121,111.798,0.85955,0.74838,1.36398,0.85878,0.85,0.86785,0.4729,1.49971,1.1101,2.45128,0.00146896,0.00146896,0.00146896
122,112.663,0.81026,0.72484,1.33348,0.85171,0.82322,0.85943,0.50148,1.49463,1.22525,2.47817,0.00146731,0.00146731,0.00146731
123,113.522,0.978,0.74536,1.3694,0.78995,0.83113,0.80624,0.50056,1.4885,1.28764,2.37593,0.00146566,0.00146566,0.00146566
124,114.635,0.99512,0.87699,1.54235,0.83413,0.76017,0.81185,0.49096,1.49157,1.22748,2.40672,0.00146401,0.00146401,0.00146401
125,115.499,0.92217,0.76629,1.38481,0.8759,0.83429,0.851,0.48189,1.62673,1.11483,2.61331,0.00146236,0.00146236,0.00146236
126,116.361,0.90541,0.74002,1.35474,0.88011,0.85,0.8297,0.43305,1.85076,1.03163,2.98906,0.00146071,0.00146071,0.00146071
127,117.223,0.97252,0.80878,1.46626,0.74962,0.82387,0.80886,0.39074,1.87624,1.16262,2.79747,0.00145906,0.00145906,0.00145906
128,118.086,0.89769,0.72557,1.37077,0.74596,0.775,0.76204,0.35245,1.91053,1.30202,2.82251,0.00145741,0.00145741,0.00145741
129,119.198,0.88146,0.7581,1.3367,0.62039,0.875,0.74315,0.31686,2.0561,1.3818,2.96381,0.00145576,0.00145576,0.00145576
130,120.052,0.93572,0.80707,1.38875,0.76738,0.81605,0.86135,0.45918,1.78864,1.0255,2.73372,0.00145411,0.00145411,0.00145411
131,120.917,0.89737,0.76202,1.37847,0.60805,0.9,0.78526,0.41423,1.77154,1.16213,2.77682,0.00145246,0.00145246,0.00145246
132,121.784,0.95083,0.87853,1.42501,0.62686,0.80995,0.75057,0.31571,1.88765,1.33939,2.84092,0.00145081,0.00145081,0.00145081
133,122.654,0.93163,0.76321,1.41002,0.65856,0.75,0.69528,0.30449,1.88101,1.3011,2.82161,0.00144916,0.00144916,0.00144916
134,123.531,0.84519,0.68195,1.33445,0.87243,0.73134,0.80457,0.40865,1.73056,1.23324,2.7264,0.00144751,0.00144751,0.00144751
135,124.641,0.92628,0.76976,1.41534,0.82592,0.76741,0.76962,0.39577,1.76536,1.27615,2.76553,0.00144586,0.00144586,0.00144586
136,125.506,0.85292,0.77805,1.35415,0.86913,0.69657,0.80912,0.43046,1.69819,1.07549,2.49896,0.00144421,0.00144421,0.00144421
137,126.367,0.85529,0.74288,1.31748,0.85242,0.75,0.83181,0.47097,1.55946,1.01451,2.34925,0.00144256,0.00144256,0.00144256
138,127.231,0.80747,0.77554,1.34142,0.89698,0.75643,0.83636,0.4243,1.77272,0.98365,2.66578,0.0014409,0.0014409,0.0014409
139,128.09,0.86188,0.72671,1.36734,0.90579,0.78292,0.87246,0.44517,1.82433,1.01367,2.68183,0.00143925,0.00143925,0.00143925
140,129.189,0.88728,0.75647,1.37827,0.83849,0.83958,0.86173,0.42247,1.73045,1.05844,2.55619,0.0014376,0.0014376,0.0014376
141,130.047,0.82066,0.70454,1.33759,0.9106,0.75,0.86489,0.42588,1.86578,1.03999,2.92338,0.00143595,0.00143595,0.00143595
142,130.924,0.85718,0.72547,1.37355,0.81033,0.8,0.84404,0.39052,1.94389,1.04027,2.97101,0.0014343,0.0014343,0.0014343
143,131.849,0.9018,0.75395,1.37627,0.73836,0.775,0.79481,0.40428,1.72053,1.20688,2.70462,0.00143265,0.00143265,0.00143265
144,132.755,0.84515,0.72851,1.32481,0.71952,0.82389,0.80613,0.44509,1.60327,1.15044,2.43429,0.001431,0.001431,0.001431
145,133.661,0.85125,0.75109,1.3978,0.85091,0.67204,0.81601,0.46534,1.59754,1.06812,2.47079,0.00142935,0.00142935,0.00142935
146,134.807,0.83942,0.76815,1.39493,0.84246,0.81769,0.84949,0.48382,1.64077,0.97307,2.51365,0.0014277,0.0014277,0.0014277
147,135.711,0.80011,0.70904,1.30963,0.86126,0.76957,0.84331,0.44863,1.70348,0.95408,2.58137,0.00142605,0.00142605,0.00142605
148,136.612,0.85349,0.67465,1.31318,0.78493,0.70616,0.72239,0.31188,1.71334,1.56622,2.5939,0.0014244,0.0014244,0.0014244
149,137.54,0.84599,0.77244,1.31543,0.75557,0.76171,0.72872,0.36602,1.72882,1.64386,2.60049,0.00142275,0.00142275,0.00142275
150,138.444,0.86345,0.71738,1.31671,0.58477,0.70994,0.67626,0.2633,2.0624,1.53717,3.02309,0.0014211,0.0014211,0.0014211
151,139.599,0.77269,0.70027,1.25795,0.6514,0.75476,0.74548,0.32308,2.02112,1.42447,3.0022,0.00141945,0.00141945,0.00141945
152,140.508,0.89081,0.71453,1.36168,0.90392,0.825,0.90065,0.5028,1.56529,1.02751,2.4821,0.0014178,0.0014178,0.0014178
153,141.412,0.82522,0.78073,1.34382,0.60812,0.73739,0.64783,0.24458,2.3019,1.58983,3.45022,0.00141615,0.00141615,0.00141615
154,142.331,0.76732,0.65926,1.30137,0.77489,0.625,0.75819,0.34371,2.13442,1.31851,3.30986,0.0014145,0.0014145,0.0014145
155,143.23,0.84596,0.73989,1.35351,0.68264,0.8,0.78531,0.33897,2.02701,1.28803,3.17626,0.00141285,0.00141285,0.00141285
156,144.133,0.75093,0.77388,1.31189,0.84341,0.8,0.84017,0.39039,1.93874,1.06356,2.99646,0.0014112,0.0014112,0.0014112
157,145.271,0.83888,0.69396,1.34336,0.86103,0.9488,0.92698,0.3413,2.03206,1.02677,3.22378,0.00140955,0.00140955,0.00140955
158,146.169,0.81191,0.68448,1.27524,0.74715,0.775,0.79943,0.33764,1.98684,1.16338,3.07287,0.0014079,0.0014079,0.0014079
159,147.066,0.86502,0.67759,1.33555,0.70371,0.775,0.73965,0.28204,2.1045,1.31083,3.19478,0.00140625,0.00140625,0.00140625
160,147.962,0.8777,0.68243,1.43333,0.74666,0.89505,0.84606,0.43561,1.75892,1.10578,2.69266,0.0014046,0.0014046,0.0014046
161,148.862,0.76616,0.6249,1.29235,0.80017,0.825,0.85244,0.44897,1.76418,1.10994,2.69468,0.00140295,0.00140295,0.00140295
162,150.006,0.85128,0.65962,1.35274,0.81274,0.80357,0.8533,0.44566,1.728,1.01579,2.59836,0.0014013,0.0014013,0.0014013
163,150.893,0.76575,0.69077,1.30481,0.85196,0.87474,0.92727,0.45839,1.82988,1.03459,2.73351,0.00139965,0.00139965,0.00139965
164,151.784,0.84299,0.76251,1.35763,0.75593,0.8,0.87357,0.44679,1.76575,1.23094,2.69785,0.001398,0.001398,0.001398
165,152.683,0.86336,0.73154,1.32954,0.82737,0.7537,0.83111,0.49006,1.64117,1.10934,2.61624,0.00139635,0.00139635,0.00139635
166,153.593,0.8212,0.71043,1.3601,0.86458,0.75233,0.86994,0.46066,1.68367,1.14127,2.58251,0.0013947,0.0013947,0.0013947
167,154.497,0.77535,0.65165,1.27868,0.69205,0.825,0.78234,0.40282,1.67108,1.39488,2.51378,0.00139305,0.00139305,0.00139305
168,155.643,0.80243,0.65189,1.27027,0.76001,0.77583,0.79204,0.40967,1.82725,1.27401,2.71354,0.00139139,0.00139139,0.00139139
169,156.535,0.86291,0.65988,1.37266,0.83469,0.84908,0.88881,0.44911,1.76644,1.03102,2.68795,0.00138974,0.00138974,0.00138974
170,157.428,0.86459,0.70329,1.30894,0.78001,0.82009,0.82545,0.43196,1.83975,1.05774,2.68519,0.00138809,0.00138809,0.00138809
171,158.325,0.82903,0.66832,1.32452,0.57728,0.64355,0.58582,0.22332,2.13138,1.6894,2.97695,0.00138644,0.00138644,0.00138644
172,159.219,0.83055,0.71042,1.2901,0.58001,0.54455,0.44284,0.13535,2.58393,2.31249,3.62019,0.00138479,0.00138479,0.00138479
173,160.362,0.75461,0.62335,1.26648,0.76013,0.75,0.70772,0.35091,1.87491,1.5911,2.90824,0.00138314,0.00138314,0.00138314
174,161.249,0.74423,0.59127,1.27365,0.77197,0.625,0.60989,0.34015,1.69958,2.07304,2.75279,0.00138149,0.00138149,0.00138149
175,162.149,0.74691,0.65249,1.24074,0.80459,0.84369,0.85103,0.45696,1.51429,1.43867,2.49508,0.00137984,0.00137984,0.00137984
176,163.066,0.80948,0.68691,1.30141,0.8388,0.87825,0.90234,0.50554,1.57513,1.02226,2.53766,0.00137819,0.00137819,0.00137819
177,163.974,0.71497,0.68506,1.24997,0.84059,0.88105,0.92915,0.48573,1.6276,0.93364,2.62524,0.00137654,0.00137654,0.00137654
178,164.875,0.77443,0.67484,1.31167,0.82455,0.85,0.89717,0.4644,1.67816,1.02795,2.7705,0.00137489,0.00137489,0.00137489
179,166.018,0.76565,0.65328,1.27657,0.81509,0.875,0.87581,0.4707,1.62796,1.02326,2.733,0.00137324,0.00137324,0.00137324
180,166.913,0.76177,0.64247,1.2895,0.82021,0.9,0.90506,0.44414,1.75945,0.93401,2.89574,0.00137159,0.00137159,0.00137159
181,167.827,0.78233,0.70253,1.28395,0.87346,0.92189,0.88906,0.424,1.82188,0.98356,3.01609,0.00136994,0.00136994,0.00136994
182,168.731,0.85214,0.70176,1.3326,0.86643,0.85514,0.86834,0.44884,1.67361,0.99613,2.6536,0.00136829,0.00136829,0.00136829
183,169.646,0.75829,0.63262,1.27407,0.81128,0.875,0.80971,0.48244,1.55714,0.96831,2.59228,0.00136664,0.00136664,0.00136664
